SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-6-2016,Single Family Residential,428 NW 9th,Corvallis,OR,97330,340310,,2.0,Corvallis,2328,6970,1920,709,146,,Sold,,,http://www.redfin.com/OR/Corvallis/428-NW-9th-St-97330/home/25914217,WVMLS,697124,N,Y,44.5695321,-123.2658243
PAST SALE,November-26-2016,Single Family Residential,993 NW Cypress,Corvallis,OR,97330-1526,349000,3,2.0,Corvallis,1754,8712,1968,505,199,,Sold,,,http://www.redfin.com/OR/Corvallis/993-NW-Cypress-Ave-97330/home/25914402,WVMLS,710402,N,Y,44.5919335,-123.2609838
PAST SALE,June-15-2015,Single Family Residential,990 NW Sequoia,Corvallis,OR,97330,210000,4,2.0,Highland Manor Subdv.,1806,9148,1961,1035,116,,Sold,,,http://www.redfin.com/OR/Corvallis/990-NW-Sequoia-Ave-97330/home/25914405,WVMLS,681671,N,Y,44.5907242,-123.2617128
PAST SALE,June-30-2017,Single Family Residential,1259 NW Oak,Corvallis,OR,97330,240000,3,1.0,Corvallis,960,9583,1962,289,250,,Sold,,,http://www.redfin.com/OR/Corvallis/1259-NW-Oak-Ave-97330/home/25915126,WVMLS,720598,N,Y,44.5931158,-123.266254
PAST SALE,May-29-2015,Single Family Residential,429 NW 12th,Corvallis,OR,97330,236000,3,1.0,Corvallis,944,5227,1910,1052,250,,Sold,,,http://www.redfin.com/OR/Corvallis/429-NW-12th-St-97330/home/25915370,WVMLS,690982,N,Y,44.5701913,-123.2683727
PAST SALE,September-28-2015,Single Family Residential,946 NW Sequoia,Corvallis,OR,97330,240000,3,1.0,Highland Lawn Acres,1186,13068,1910,930,202,,Sold,,,http://www.redfin.com/OR/Corvallis/946-NW-Sequoia-Ave-97330/home/25915484,WVMLS,694230,N,Y,44.5909536,-123.2568219
PAST SALE,,Single Family Residential,1344 NW Dixon St,Corvallis,OR,97330,250000,2,1.0,,1056,7405,1952,,237,,,,,http://www.redfin.com/OR/Corvallis/1344-NW-Dixon-St-97330/home/25916006,,,N,Y,44.5790796,-123.2661299
PAST SALE,,Single Family Residential,1517 NW 13th St,Corvallis,OR,97330,276000,3,2.0,,1563,11326,1963,,177,,,,,http://www.redfin.com/OR/Corvallis/1517-NW-13th-St-97330/home/25916208,,,N,Y,44.581954,-123.2667628
PAST SALE,April-18-2016,Single Family Residential,1320 NW Garfield,Corvallis,OR,97330,353200,3,2.0,North Gate Estates 4th Ad,1696,8712,1960,727,208,,Sold,,,http://www.redfin.com/OR/Corvallis/1320-NW-Garfield-Ave-97330/home/25916706,WVMLS,700896,N,Y,44.5828621,-123.2678142
PAST SALE,May-19-2016,Single Family Residential,2241 NW 12th,Corvallis,OR,97330-1459,324000,3,2.0,Carter Rawie 1st,1515,9148,1960,696,214,,Sold,,,http://www.redfin.com/OR/Corvallis/2241-NW-12th-St-97330/home/25917509,WVMLS,701051,N,Y,44.5906864,-123.2645399
